date;device-id;rssi;snr;status;temperature;humidity;pressure;latitude;longitude;altitude;battery;ph;soilMoisture;leafMoisture
2024-02-22T16:08:18.738262745Z;eui-70b3d57ed00633b8;-50;13;11011;21.65;42.68;965.01;;;;42.00;5.00;40.20;33.69
2024-02-22T16:09:25.055669783Z;eui-70b3d57ed00633b8;-53;13.75;11011;21.65;42.99;965.02;;;;42.00;5.00;40.20;33.69
2024-02-22T16:10:31.337149516Z;eui-70b3d57ed00633b8;-57;13;11011;21.75;42.72;964.94;;;;42.00;5.00;40.20;33.69
2024-02-22T16:11:37.629922977Z;eui-70b3d57ed00633b8;-58;14.25;11011;21.81;42.78;965.04;;;;42.00;5.00;40.20;33.69
2024-02-22T16:12:43.928636656Z;eui-70b3d57ed00633b8;-57;13.5;11011;21.80;42.80;965.03;;;;42.00;5.00;40.20;33.69
2024-02-22T16:13:50.216092130Z;eui-70b3d57ed00633b8;-56;11;11011;21.70;42.58;964.92;;;;42.00;5.00;40.20;33.69
2024-02-22T16:14:56.502404546Z;eui-70b3d57ed00633b8;-56;10;11011;21.63;43.00;965.06;;;;42.00;5.00;40.20;33.69
2024-02-22T16:16:02.808934390Z;eui-70b3d57ed00633b8;-51;14;11011;21.57;43.79;965.03;;;;42.00;5.00;40.20;33.69
2024-02-22T16:17:09.095654206Z;eui-70b3d57ed00633b8;-52;13.5;11011;21.59;43.07;965.03;;;;42.00;5.00;40.20;33.69
2024-02-22T16:18:15.382703388Z;eui-70b3d57ed00633b8;-52;13.25;11011;21.77;42.99;964.90;;;;42.00;5.00;40.20;33.69
